kernactiviteit;synoniem1;synoniem2;synoniem3;synoniem4;synoniem5;synoniem6;synoniem7;synoniem8;synoniem9;synoniem10
Agro-ecologie;Agro-forestry;;;;;;;;;
Akkerbouw;Agricultuur;Landbouw;;;;;;;;
Basiseducatie;;;;;;;;;;
Behoud regenwoud;;;;;;;;;;
Bier;;;;;;;;;;
Biodiversiteit;;;;;;;;;;
Biologisch;;;;;;;;;;
Bodemgezondheid;;;;;;;;;;
Boekweit;;;;;;;;;;
Brood;;;;;;;;;;
Consumentenplatform;;;;;;;;;;
Dieetverandering;;;;;;;;;;
Educatie;;;;;;;;;;
Gelijke kansen;;;;;;;;;;
Haver;;;;;;;;;;
Inclusieve arbeidsmarkt;;;;;;;;;;
Kleinschalig;;;;;;;;;;
Klimaatadaptatie;;;;;;;;;;
Lichaamshygiëne;;;;;;;;;;
Margarine;;;;;;;;;;
Middelbare school;;;;;;;;;;
Natuurlijke producten;;;;;;;;;;
Non-profitorganisatie;;;;;;;;;;
Ontmoedigen dierlijke voedselconsumptie;Veganistisch;;;;;;;;;
Ontmoedigen ontbossing;;;;;;;;;;
Ontmoedigen palmolieconsumptie;;;;;;;;;;
Plantaardige voedselproductie;Veganistisch;;;;;;;;;
Psychiatriche doelgroep;;;;;;;;;;
Regionaal;;;;;;;;;;
Sheaboter;;;;;;;;;;
Stimuleren inclusiviteit;;;;;;;;;;
Stimuleren plantaardige voedselconsumptie;Veganistisch;;;;;;;;;
Streekproducten;;;;;;;;;;
Studiebegeleiding;;;;;;;;;;
Voedselkeuze;;;;;;;;;;
Voedseltransitie;;;;;;;;;;
Werkgelegenheid;;;;;;;;;;
